Time stressAv
300.0 0.03847844248851812
320.0 0.04893999758477632
340.0 0.03497379471140885
360.0 0.0045166174467659624
380.0 -0.04434195769845167
400.0 -0.10223751709226331
420.0 -0.15706424196796678
440.0 -0.1879659575631417
460.0 -0.1991239196908842
480.0 -0.19456126566066057
500.0 -0.17817768543368503
520.0 -0.1605794270205264
540.0 -0.1415927061930736
560.0 -0.12904629203812293
580.0 -0.1176542120914147
600.0 -0.11471454065485198
620.0 -0.11948668059903628
640.0 -0.13153395873303464
660.0 -0.13503838897018697
680.0 -0.12745662599371424
700.0 -0.11933034297352141
720.0 -0.11091946854005959
740.0 -0.11401072108495862
760.0 -0.10800774421723347
780.0 -0.10279308450072273
800.0 -0.09467051118857439
820.0 -0.07828079288196084
840.0 -0.07079234194985695
860.0 -0.07685986492003076
880.0 -0.09080391021245332
900.0 -0.10617776428734026
920.0 -0.1217054167113197
940.0 -0.13931326590779006
960.0 -0.16023437065715068
980.0 -0.17256360408901972
1000.0 -0.1855420999041717
1020.0 -0.17550076459089645
1040.0 -0.1623141109755795
1060.0 -0.1416549160692008
1080.0 -0.11925246678047474
1100.0 -0.10461591307056615
1120.0 -0.11105226878154846
1140.0 -0.12485954741449605
1160.0 -0.14426343602821926
1180.0 -0.16140787672335918
1200.0 -0.16783896173405197
1220.0 -0.15273622859715716
1240.0 -0.1396226481515288
1260.0 -0.1297791635521798
1280.0 -0.13005874190474284
1300.0 -0.14045974922507434
1320.0 -0.1445016397802046
1340.0 -0.13863120746909427
1360.0 -0.14458172184107448
1380.0 -0.14795850921873746
1400.0 -0.14768975380842783
1420.0 -0.14689155473373927
1440.0 -0.1365883461590244
1460.0 -0.12698425433289479
1480.0 -0.1191664079441747
1500.0 -0.1199375338058678
1520.0 -0.12414341616256581
1540.0 -0.1259427387071135
1560.0 -0.12813448655748702
1580.0 -0.13443308158138376
1600.0 -0.14467822916032147
1620.0 -0.1436001070377483
1640.0 -0.1390157109258628
1660.0 -0.13367958561483992
1680.0 -0.12579762776863204
1700.0 -0.11201572751488588
1720.0 -0.10385225516989294
1740.0 -0.09606736764921274
1760.0 -0.08461005917661828
1780.0 -0.07140591472860856
1800.0 -0.08421894031717554
1820.0 -0.09917929215174787
1840.0 -0.1133965833891657
1860.0 -0.12576458545124267
1880.0 -0.1380570275497267
1900.0 -0.15302830892083355
1920.0 -0.15196376432965977
1940.0 -0.14541012375966209
1960.0 -0.13882581215374534
1980.0 -0.13220248822642647
2000.0 -0.12408241245633282
2020.0 -0.10885697981508675
2040.0 -0.11946996516160661
2060.0 -0.13928098935347658
2080.0 -0.1604032191996191
2100.0 -0.18011530680626664
2120.0 -0.1783215686117353
